created_at,screen_name,text,favorite_count,retweet_count,urls_expanded_url
2018-02-02T06:23:55Z,rstudiotips,"Couldn't make it to #rstudioconf? You can still watch the keynote livestreams! Check the #rstudioconf hashtag for tips and resources from the conference, too. #rstats https://t.co/cIge09E2Z5",84,18,https://twitter.com/rstudio/status/959210273818071040
2018-02-02T02:52:39Z,AmeliaMN,"This is a high-quality poster, @nj_tierney. #rstudioconf https://t.co/cPuO4gDaQg https://t.co/qoBEXGWemO",134,22,http://www.naniar.njtierney.com
2018-02-01T23:42:05Z,rstudio,UPDATE WITH DETAILS: Put https://t.co/Yzf7xbTU4S in your calendar to catch Di Cook’s live-streamed keynote “To the Tidyverse and Beyond” 9am PT Fri Feb 2 and J.J. Allaire’s “Machine Learning with R and Tensorflow” 9am PT Sat Feb 3. #rstudioconf,201,72,http://rstd.io/YouTube
2018-02-01T19:44:10Z,UofGPsychology,"If you're broom-ing into February but tibble-y sad at missing out on #rstudioconf then do we plyr have the package for you. Save the lubridate, March 8th, Shiny Glasgow, and #rstats your course to a tidyr tomorrow.

https://t.co/5ffeKejjhV",19,11,https://www.eventbrite.co.uk/e/teaching-reproducible-data-analysis-in-psychology-with-r-tickets-41384249404
2018-02-01T19:33:27Z,cpsievert,"Slides for my #rstudioconf #rstats talk tomorrow ""Augmenting data exploration with interactive graphics""

https://t.co/ES3ijG0GnV",106,23,https://talks.cpsievert.me/20180202/
2018-02-01T19:30:24Z,rstudio,"We will be live-streaming our rstudio::conf 2018 keynotes &amp; a talk on large scale machine learning using TensorFlow, BigQuery and CloudML Engine within RStudio. Access the stream on our official YouTube page tomorrow -&gt; https://t.co/Yzf7xbTU4S. #rstudioconf",224,104,http://rstd.io/YouTube
2018-02-01T18:51:28Z,grrrck,"Was feeling like I was missing out on all the #rstudioconf fun, so I made a simple #shiny app to bring the (twitter) conference to me! #rstats #fomo https://t.co/0o2lc5ocps https://t.co/Z5ddy8AiaE",113,22,https://gadenbuie.shinyapps.io/rsconf_tweets/
2018-02-01T01:15:30Z,datapointier,"Learned so much in day 1 of “what they forgot to teach you about R” at #rstudioconf with @JennyBryan! My favorite is usethis::use_github() 🙌🙌🙌 painless way to 🚀 a local repo into the world!

My notes here: https://t.co/n8eTbs85Jt",265,63,http://jessicaminnier.com/rstudioconf18_jennybryan_forgot/notes.html
2018-02-01T01:14:47Z,AmeliaMN,"For my #rstudioconf Intro to R &amp; @RStudio workshop, I finished v. 1.0 of my R Syntax Comparison cheatsheet. https://t.co/ti3vEkQmOO
Ask me if you want a paper copy! https://t.co/Wn2e7coEGg",651,218,http://www.science.smith.edu/~amcnamara/Syntax-cheatsheet.pdf
2018-01-31T20:54:52Z,kearneymw,Github repo on collecting and exploring the #rstudioconf Twitter data: https://t.co/iv5rByMad6. It includes instructions on how to re-gather the data [for yourself] and a few pretty charts. https://t.co/sYMCh9Velr,155,50,https://github.com/mkearney/rstudioconf_tweets
2018-01-31T19:14:00Z,kierisi,For all #rstats beginners as well as the rstats curious - for the next few days keep an eye on the #rstudioconf hashtag to follow along with all of the greatness happening in San Diego: https://t.co/wn9xE82PVn,77,34,https://buff.ly/2Fx3Vxm
2018-01-30T23:25:08Z,kearneymw,"The week of #rstudioconf is a good time to remind everyone that some important books are [intentionally] available online for free:
https://t.co/ePMiKs3MAr
https://t.co/NHR7wmLGgd
https://t.co/wbymwjG0CD
https://t.co/uwqG0q967M
https://t.co/AjXTfZgyAg
https://t.co/zgoHq51PGV",446,202,http://r4ds.had.co.nz/
2018-01-30T23:25:08Z,kearneymw,"The week of #rstudioconf is a good time to remind everyone that some important books are [intentionally] available online for free:
https://t.co/ePMiKs3MAr
https://t.co/NHR7wmLGgd
https://t.co/wbymwjG0CD
https://t.co/uwqG0q967M
https://t.co/AjXTfZgyAg
https://t.co/zgoHq51PGV",446,202,http://adv-r.had.co.nz/
2018-01-30T23:25:08Z,kearneymw,"The week of #rstudioconf is a good time to remind everyone that some important books are [intentionally] available online for free:
https://t.co/ePMiKs3MAr
https://t.co/NHR7wmLGgd
https://t.co/wbymwjG0CD
https://t.co/uwqG0q967M
https://t.co/AjXTfZgyAg
https://t.co/zgoHq51PGV",446,202,http://r-pkgs.had.co.nz/
2018-01-30T23:25:08Z,kearneymw,"The week of #rstudioconf is a good time to remind everyone that some important books are [intentionally] available online for free:
https://t.co/ePMiKs3MAr
https://t.co/NHR7wmLGgd
https://t.co/wbymwjG0CD
https://t.co/uwqG0q967M
https://t.co/AjXTfZgyAg
https://t.co/zgoHq51PGV",446,202,http://moderndive.com/
2018-01-30T23:25:08Z,kearneymw,"The week of #rstudioconf is a good time to remind everyone that some important books are [intentionally] available online for free:
https://t.co/ePMiKs3MAr
https://t.co/NHR7wmLGgd
https://t.co/wbymwjG0CD
https://t.co/uwqG0q967M
https://t.co/AjXTfZgyAg
https://t.co/zgoHq51PGV",446,202,http://happygitwithr.com/
2018-01-30T23:25:08Z,kearneymw,"The week of #rstudioconf is a good time to remind everyone that some important books are [intentionally] available online for free:
https://t.co/ePMiKs3MAr
https://t.co/NHR7wmLGgd
https://t.co/wbymwjG0CD
https://t.co/uwqG0q967M
https://t.co/AjXTfZgyAg
https://t.co/zgoHq51PGV",446,202,https://www.tidytextmining.com/
2018-01-29T13:22:26Z,dataandme,"👯@RLadiesGlobal /any &amp; all who want to get involved, rstudio::conf is almost here! 🎉 
🍾 5:30pm on Friday we have a (literal) room of our own (Cortez Hall C)
📱 stay tuned on the conf app!
https://t.co/hhZHtrIlc8 #rstats #RLadies #rstudioconf https://t.co/8l9DyxcLBw",53,20,https://buff.ly/2EkOQzK
